#UbUs_1-2023-06-21-Wed-21-47-18.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1          9.57      0.0444341 
stat-001    1           9.6      0.0442946 
stat-001    1          9.63      0.0441557 
stat-001    1          9.66      0.0440168 
stat-001    1          9.69      0.0438782 
stat-001    1          9.72      0.0437403 
stat-001    1          9.75      0.0436034 
stat-001    1          9.78      0.0434671 
stat-001    1          9.81       0.043332 
stat-001    1          9.84      0.0431987 
stat-001    1          9.87      0.0430673 
stat-001    1           9.9      0.0429377 
stat-001    1          9.93      0.0428105 
stat-001    1          9.96      0.0426845 
stat-001    1          9.99      0.0425575 
stat-001    1         10.02      0.0424327 
stat-001    1         10.05      0.0423096 
stat-001    1         10.08      0.0421906 
stat-001    1         10.11      0.0420727 
stat-001    1         10.14      0.0419566 
stat-001    1         10.17      0.0418429 
stat-001    1          10.2      0.0417286 
stat-001    1         10.23      0.0416154 
stat-001    1         10.26      0.0415033 
stat-001    1         10.29      0.0413918 
stat-001    1         10.32      0.0412828 
stat-001    1         10.35       0.041174 
stat-001    1         10.38      0.0410676 
stat-001    1         10.41       0.040962 
stat-001    1         10.44      0.0408581 
stat-001    1         10.47      0.0407547 
stat-001    1          10.5      0.0406525 
stat-001    1         10.53      0.0405514 
stat-001    1         10.56       0.040452 
stat-001    1         10.59      0.0403541 
stat-001    1         10.62      0.0402579 
stat-001    1         10.65       0.040164 
stat-001    1         10.68      0.0400715 
stat-001    1         10.71      0.0399796 
stat-001    1         10.74      0.0398894 
stat-001    1         10.77      0.0397996 
stat-001    1          10.8      0.0397099 
stat-001    1         10.83      0.0396217 
stat-001    1         10.86      0.0395348 
stat-001    1         10.89      0.0394487 
stat-001    1         10.92      0.0393626 
stat-001    1         10.95      0.0392779 
stat-001    1         10.98      0.0391925 
stat-001    1         11.01      0.0391068 
stat-001    1         11.04      0.0390214 
stat-001    1         11.07      0.0389356 
stat-001    1          11.1      0.0388484 
stat-001    1         11.13      0.0387628 
stat-001    1         11.16      0.0386779 
stat-001    1         11.19      0.0385938 
stat-001    1         11.22      0.0385116 
stat-001    1         11.25      0.0384292 
stat-001    1         11.28      0.0383466 
stat-001    1         11.31      0.0382644 
stat-001    1         11.34       0.038183 
stat-001    1         11.37      0.0381024 
stat-001    1          11.4      0.0380212 
stat-001    1         11.43      0.0379419 
stat-001    1         11.46      0.0378643 
stat-001    1         11.49      0.0377877 
stat-001    1         11.52      0.0377116 
stat-001    1         11.55      0.0376381 
stat-001    1         11.58      0.0375641 
stat-001    1         11.61      0.0374913 
stat-001    1         11.64       0.037419 
stat-001    1         11.67      0.0373488 
stat-001    1          11.7       0.037279 
stat-001    1         11.73      0.0372118 
stat-001    1         11.76      0.0371453 
stat-001    1         11.79      0.0370791 
stat-001    1         11.82      0.0370138 
stat-001    1         11.85      0.0369494 
stat-001    1         11.88      0.0368854 
stat-001    1         11.91      0.0368233 
stat-001    1         11.94      0.0367621 
stat-001    1         11.97      0.0367033 
stat-001    1            12      0.0366458 
stat-001    1         12.03      0.0365869 
stat-001    1         12.06      0.0365299 
stat-001    1         12.09      0.0364744 
stat-001    1         12.12      0.0364196 
stat-001    1         12.15      0.0363629 
stat-001    1         12.18      0.0363072 
stat-001    1         12.21       0.036252 
stat-001    1         12.24      0.0361992 
stat-001    1         12.27      0.0361478 
stat-001    1          12.3      0.0360975 
stat-001    1         12.33       0.036047 
stat-001    1         12.36      0.0359958 
stat-001    1         12.39      0.0359447 
stat-001    1         12.42       0.035894 
stat-001    1         12.45      0.0358435 
stat-001    1         12.48      0.0357954 
stat-001    1         12.51      0.0357497 
stat-001    1         12.54      0.0357026 
stat-001    1         12.57      0.0356556 
stat-001    1          12.6      0.0356085 
stat-001    1         12.63      0.0355606 
stat-001    1         12.66      0.0355148 
stat-001    1         12.69      0.0354696 
stat-001    1         12.72       0.035423 
stat-001    1         12.75       0.035378 
stat-001    1         12.78      0.0353351 
stat-001    1         12.81      0.0352936 
stat-001    1         12.84      0.0352537 
stat-001    1         12.87      0.0352147 
stat-001    1          12.9      0.0351758 
stat-001    1         12.93      0.0351371 
stat-001    1         12.96      0.0350974 
