#UbUs_1-2023-06-21-Wed-19-14-57.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1         11.94       0.147901 
stat-001    1         11.97       0.147742 
stat-001    1            12       0.147583 
stat-001    1         12.03       0.147428 
stat-001    1         12.06       0.147275 
stat-001    1         12.09       0.147123 
stat-001    1         12.12       0.146973 
stat-001    1         12.15       0.146825 
stat-001    1         12.18       0.146679 
stat-001    1         12.21       0.146535 
stat-001    1         12.24       0.146393 
stat-001    1         12.27       0.146252 
stat-001    1          12.3       0.146111 
stat-001    1         12.33       0.145971 
stat-001    1         12.36       0.145834 
stat-001    1         12.39         0.1457 
stat-001    1         12.42       0.145568 
stat-001    1         12.45        0.14544 
stat-001    1         12.48       0.145313 
stat-001    1         12.51       0.145187 
stat-001    1         12.54       0.145064 
stat-001    1         12.57       0.144942 
stat-001    1          12.6       0.144822 
stat-001    1         12.63       0.144703 
stat-001    1         12.66       0.144586 
stat-001    1         12.69       0.144471 
stat-001    1         12.72       0.144355 
stat-001    1         12.75       0.144242 
stat-001    1         12.78       0.144131 
stat-001    1         12.81       0.144021 
stat-001    1         12.84       0.143913 
stat-001    1         12.87       0.143808 
stat-001    1          12.9       0.143703 
stat-001    1         12.93       0.143599 
stat-001    1         12.96       0.143498 
stat-001    1         12.99       0.143398 
stat-001    1         13.02         0.1433 
stat-001    1         13.05       0.143204 
stat-001    1         13.08        0.14311 
stat-001    1         13.11       0.143017 
stat-001    1         13.14       0.142926 
stat-001    1         13.17       0.142835 
stat-001    1          13.2       0.142745 
stat-001    1         13.23       0.142657 
stat-001    1         13.26       0.142571 
stat-001    1         13.29       0.142486 
stat-001    1         13.32       0.142402 
stat-001    1         13.35        0.14232 
stat-001    1         13.38       0.142239 
stat-001    1         13.41       0.142161 
stat-001    1         13.44       0.142084 
stat-001    1         13.47       0.142008 
stat-001    1          13.5       0.141934 
stat-001    1         13.53       0.141862 
stat-001    1         13.56       0.141791 
stat-001    1         13.59       0.141723 
stat-001    1         13.62       0.141656 
stat-001    1         13.65       0.141591 
stat-001    1         13.68       0.141528 
stat-001    1         13.71       0.141467 
stat-001    1         13.74       0.141408 
stat-001    1         13.77        0.14135 
stat-001    1          13.8       0.141295 
stat-001    1         13.83        0.14124 
stat-001    1         13.86       0.141187 
stat-001    1         13.89       0.141135 
stat-001    1         13.92       0.141084 
stat-001    1         13.95       0.141033 
stat-001    1         13.98       0.140985 
stat-001    1         14.01       0.140938 
stat-001    1         14.04       0.140891 
stat-001    1         14.07       0.140846 
stat-001    1          14.1       0.140803 
stat-001    1         14.13       0.140761 
stat-001    1         14.16       0.140721 
stat-001    1         14.19       0.140681 
stat-001    1         14.22       0.140643 
stat-001    1         14.25       0.140607 
stat-001    1         14.28       0.140572 
stat-001    1         14.31       0.140538 
stat-001    1         14.34       0.140506 
stat-001    1         14.37       0.140475 
stat-001    1          14.4       0.140446 
stat-001    1         14.43       0.140417 
stat-001    1         14.46       0.140391 
stat-001    1         14.49       0.140365 
stat-001    1         14.52       0.140342 
stat-001    1         14.55       0.140321 
stat-001    1         14.58       0.140301 
stat-001    1         14.61       0.140282 
stat-001    1         14.64       0.140264 
stat-001    1         14.67       0.140249 
stat-001    1          14.7       0.140235 
stat-001    1         14.73       0.140222 
stat-001    1         14.76        0.14021 
stat-001    1         14.79       0.140199 
stat-001    1         14.82       0.140189 
stat-001    1         14.85       0.140181 
stat-001    1         14.88       0.140172 
stat-001    1         14.91       0.140164 
stat-001    1         14.94       0.140159 
stat-001    1         14.97       0.140156 
stat-001    1            15       0.140155 
stat-001    1         15.03       0.140156 
stat-001    1         15.06       0.140159 
stat-001    1         15.09       0.140164 
stat-001    1         15.12       0.140172 
stat-001    1         15.15       0.140181 
stat-001    1         15.18       0.140189 
stat-001    1         15.21       0.140199 
stat-001    1         15.24        0.14021 
stat-001    1         15.27       0.140222 
stat-001    1          15.3       0.140235 
stat-001    1         15.33       0.140249 
stat-001    1         15.36       0.140264 
stat-001    1         15.39       0.140282 
stat-001    1         15.42       0.140301 
stat-001    1         15.45       0.140321 
stat-001    1         15.48       0.140342 
stat-001    1         15.51       0.140365 
stat-001    1         15.54       0.140391 
stat-001    1         15.57       0.140417 
stat-001    1          15.6       0.140446 
stat-001    1         15.63       0.140475 
stat-001    1         15.66       0.140506 
stat-001    1         15.69       0.140538 
stat-001    1         15.72       0.140572 
stat-001    1         15.75       0.140607 
stat-001    1         15.78       0.140643 
stat-001    1         15.81       0.140681 
stat-001    1         15.84       0.140721 
stat-001    1         15.87       0.140761 
stat-001    1          15.9       0.140803 
stat-001    1         15.93       0.140846 
stat-001    1         15.96       0.140891 
stat-001    1         15.99       0.140938 
stat-001    1         16.02       0.140985 
stat-001    1         16.05       0.141033 
stat-001    1         16.08       0.141084 
stat-001    1         16.11       0.141135 
stat-001    1         16.14       0.141187 
stat-001    1         16.17        0.14124 
stat-001    1          16.2       0.141295 
stat-001    1         16.23        0.14135 
stat-001    1         16.26       0.141408 
stat-001    1         16.29       0.141467 
stat-001    1         16.32       0.141528 
stat-001    1         16.35       0.141591 
stat-001    1         16.38       0.141656 
stat-001    1         16.41       0.141723 
stat-001    1         16.44       0.141791 
stat-001    1         16.47       0.141862 
stat-001    1          16.5       0.141934 
stat-001    1         16.53       0.142008 
stat-001    1         16.56       0.142084 
stat-001    1         16.59       0.142161 
stat-001    1         16.62       0.142239 
stat-001    1         16.65        0.14232 
stat-001    1         16.68       0.142402 
stat-001    1         16.71       0.142486 
stat-001    1         16.74       0.142571 
stat-001    1         16.77       0.142657 
stat-001    1          16.8       0.142745 
stat-001    1         16.83       0.142835 
stat-001    1         16.86       0.142926 
stat-001    1         16.89       0.143017 
stat-001    1         16.92        0.14311 
stat-001    1         16.95       0.143204 
stat-001    1         16.98         0.1433 
stat-001    1         17.01       0.143398 
stat-001    1         17.04       0.143498 
stat-001    1         17.07       0.143599 
stat-001    1          17.1       0.143703 
stat-001    1         17.13       0.143808 
stat-001    1         17.16       0.143913 
stat-001    1         17.19       0.144021 
stat-001    1         17.22       0.144131 
stat-001    1         17.25       0.144242 
stat-001    1         17.28       0.144355 
stat-001    1         17.31       0.144471 
stat-001    1         17.34       0.144586 
stat-001    1         17.37       0.144703 
stat-001    1          17.4       0.144822 
stat-001    1         17.43       0.144942 
stat-001    1         17.46       0.145064 
stat-001    1         17.49       0.145187 
stat-001    1         17.52       0.145313 
stat-001    1         17.55        0.14544 
stat-001    1         17.58       0.145568 
stat-001    1         17.61         0.1457 
stat-001    1         17.64       0.145834 
stat-001    1         17.67       0.145971 
stat-001    1          17.7       0.146111 
stat-001    1         17.73       0.146252 
stat-001    1         17.76       0.146393 
stat-001    1         17.79       0.146535 
stat-001    1         17.82       0.146679 
stat-001    1         17.85       0.146825 
stat-001    1         17.88       0.146973 
stat-001    1         17.91       0.147123 
stat-001    1         17.94       0.147275 
stat-001    1         17.97       0.147428 
stat-001    1            18       0.147583 
stat-001    1         18.03       0.147742 
stat-001    1         18.06       0.147901 
stat-001    1         18.09       0.148063 
stat-001    1         18.12       0.148227 
stat-001    1         18.15       0.148392 
stat-001    1         18.18        0.14856 
stat-001    1         18.21       0.148729 
stat-001    1         18.24       0.148899 
stat-001    1         18.27       0.149071 
stat-001    1          18.3       0.149247 
stat-001    1         18.33       0.149423 
stat-001    1         18.36       0.149602 
stat-001    1         18.39       0.149781 
stat-001    1         18.42       0.149962 
stat-001    1         18.45       0.150145 
stat-001    1         18.48        0.15033 
stat-001    1         18.51       0.150517 
stat-001    1         18.54       0.150705 
stat-001    1         18.57       0.150894 
stat-001    1          18.6       0.151084 
stat-001    1         18.63       0.151276 
stat-001    1         18.66       0.151469 
stat-001    1         18.69       0.151664 
stat-001    1         18.72       0.151861 
stat-001    1         18.75       0.152059 
stat-001    1         18.78        0.15226 
stat-001    1         18.81       0.152461 
stat-001    1         18.84       0.152664 
stat-001    1         18.87        0.15287 
stat-001    1          18.9       0.153077 
stat-001    1         18.93       0.153286 
stat-001    1         18.96       0.153496 
stat-001    1         18.99       0.153708 
stat-001    1         19.02       0.153921 
